,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
0,15,1,0,11.95,25,0.14,0,8.4,2.3,0,0
1,18,0,0,8.22,0,0.7160392094986286,0,0.0,0.0,0,1
2,23,1,0,8.91,16,0.0,0,13.7,0.9,0,1
3,27,0,0,6.87,21,0.7160392094986286,1,0.0,0.0,0,1
4,34,0,0,6.39,0,0.7160392094986286,0,0.0,0.0,0,1
5,56,1,1,11.94,32,1.38,0,69.4,4.0,0,0
6,71,0,0,8.96,18,0.0,0,21.3,2.0,0,1
7,84,0,0,5.48,14,0.7160392094986286,1,0.0,0.0,0,1
8,94,0,0,8.54,0,0.7160392094986286,0,0.0,0.0,0,1
9,112,0,0,8.33,0,0.7160392094986286,0,0.0,0.0,0,1
10,166,1,1,8.44,17,0.0,0,9.9,1.1,0,1
11,174,1,1,11.93,10,1.28,0,10.6,0.6,0,0
12,213,0,0,6.64,10,0.7160392094986286,0,0.0,0.0,0,1
13,222,0,0,5.53,14,0.7160392094986286,0,0.0,0.0,0,1
14,270,0,0,6.97,23,0.28,0,0.0,0.0,0,1
15,288,1,1,11.93,18,1.8,0,1.0,0.0,0,0
16,291,1,0,11.93,22,0.01,1,10.6,2.4,0,0
17,417,0,0,6.45,40,0.7160392094986286,0,0.0,0.0,0,1
18,475,0,0,6.81,14,0.7160392094986286,0,0.0,0.0,0,1
19,507,1,1,11.93,65,0.21,0,116.8,12.1,0,0
20,530,0,0,5.95,0,0.7160392094986286,0,0.0,0.0,0,1
21,549,1,0,11.93,24,0.7160392094986286,0,9.3,0.7,0,0
22,550,0,0,8.53,0,0.7160392094986286,0,0.0,0.0,0,1
23,600,0,0,11.93,41,0.7160392094986286,0,24.1,3.2,0,0
24,608,0,0,8.57,20,0.7160392094986286,0,0.0,0.0,0,1
25,617,0,0,11.93,21,0.7160392094986286,0,43.68991139610236,4.192075723644831,0,0
26,642,0,0,5.21,14,0.7160392094986286,0,0.0,0.0,0,1
27,644,0,0,5.93,0,0.7160392094986286,0,0.0,0.0,0,1
28,680,0,0,7.02,13,0.7160392094986286,0,0.0,0.0,0,1
29,682,1,0,10.93,63,0.0,0,38.1,7.9,0,1
30,683,0,0,6.03,9,0.7160392094986286,0,0.0,0.0,0,1
31,696,0,0,9.22,80,0.7160392094986286,0,235.0,6.0,0,1
32,730,0,0,5.62,0,0.7160392094986286,0,0.0,0.0,0,1
33,734,0,0,6.6,54,0.7160392094986286,0,0.0,0.0,0,1
34,774,0,0,11.12,33,0.7160392094986286,0,11.4,1.6,0,1
35,790,0,0,11.88,129,0.7160392094986286,0,125.8,9.2,0,1
36,831,0,0,5.44,18,0.7160392094986286,0,0.0,0.0,0,1
37,848,0,0,5.62,0,0.7160392094986286,0,0.0,0.0,0,1
38,861,1,0,11.93,45,1.83,0,70.3,9.7,0,0
39,905,0,0,5.62,0,0.7160392094986286,0,0.0,0.0,0,1
40,921,1,0,6.35,21,0.7160392094986286,0,0.0,0.0,0,1
41,928,0,0,6.64,14,0.7160392094986286,2,0.0,0.0,0,1
42,933,1,0,5.3,79,0.7160392094986286,2,0.0,0.0,0,1
43,945,0,0,5.62,0,0.7160392094986286,0,0.0,0.0,0,1
44,977,1,1,11.93,16,1.82,0,19.4,1.9,0,0
