카테고리: 모든 카테고리

월,서울시 아파트: (대한민국)
2017-01,57
2017-02,58
2017-03,0
2017-04,73
2017-05,75
2017-06,91
2017-07,29
2017-08,37
2017-09,59
2017-10,79
2017-11,82
2017-12,52
2018-01,62
2018-02,83
2018-03,85
2018-04,68
2018-05,91
2018-06,54
2018-07,52
2018-08,78
2018-09,61
2018-10,61
2018-11,59
2018-12,45
2019-01,50
2019-02,60
2019-03,53
2019-04,33
2019-05,35
2019-06,59
2019-07,73
2019-08,73
2019-09,57
2019-10,100
2019-11,72
2019-12,84
2020-01,51
2020-02,60
2020-03,87
2020-04,45
2020-05,63
2020-06,56
2020-07,71
2020-08,69
2020-09,55
2020-10,52
2020-11,43
2020-12,42
2021-01,80
2021-02,62
2021-03,40
2021-04,63
2021-05,39
2021-06,36
2021-07,34
2021-08,44
2021-09,57
2021-10,55
2021-11,40
2021-12,38
2022-01,64
2022-02,61
2022-03,40
2022-04,38
2022-05,41
2022-06,50
2022-07,36
2022-08,58
2022-09,63
2022-10,36
2022-11,74
2022-12,51
2023-01,33
2023-02,68
2023-03,54
2023-04,50
