분기별,면적당거래가격,물가지수,기준금리,실업율,고용률,GDP,유동성비율,인구이동률
2006/Q1,497.0,75.48,4.0,5.2,58.8,236667.5,49.75803212365526,28.18274625038138
2006/Q2,424.0,75.951,4.25,4.3,60.7,246819.2,49.26002573398109,27.196855040214242
2006/Q3,407.0,76.571,4.5,4.3,60.3,255259.1,47.9143739485817,23.979112014311347
2006/Q4,462.0,76.323,4.5,4.5,60.2,266855.7,48.38938200608409,30.83061359588915
2007/Q1,393.0,76.992,4.5,4.5,58.9,252586.3,43.96664520124855,29.51173059593889
2007/Q2,445.0,77.811,4.5,3.9,60.9,268345.3,42.961947034017896,25.32111279888762
2007/Q3,448.0,78.332,5.0,3.9,60.5,275865.8,43.2397794653074,22.011296843418553
2007/Q4,478.0,78.902,5.0,4.0,60.3,292862.8,43.12731605359613,27.181651601078176
2008/Q1,491.0,79.919,5.0,4.3,58.7,271693.8,43.36694318347356,26.60403918232353
2008/Q2,542.0,81.581,5.0,3.8,60.6,289566.5,42.540564578651804,27.14223726205973
2008/Q3,554.0,82.673,5.25,3.8,60.1,295242.9,42.29895808074392,23.71210002435594
2008/Q4,589.0,82.449,3.0,3.8,59.6,297713.4,41.13250442257875,22.813687748959012
2009/Q1,633.0,83.045,2.0,4.7,57.6,278108.8,37.23032246919805,23.98004693125009
2009/Q2,638.0,83.837,2.0,4.8,59.4,297889.5,39.11312445198066,23.068434118921648
2009/Q3,634.0,84.31,2.0,4.5,59.3,309041.3,41.930317650379166,22.73690321765703
2009/Q4,617.0,84.434,2.0,4.1,58.8,320308.2,44.25138182551392,22.48942103549965
2010/Q1,631.0,85.523,2.0,5.7,57.1,307737.9,45.13885086838823,22.82215179699923
2010/Q2,578.0,86.07,2.0,4.5,59.8,329481.0,45.85330957861591,21.46356891430552
2010/Q3,597.0,86.733,2.25,4.4,59.5,334833.6,46.80769304103336,19.04570377074277
2010/Q4,633.0,87.165,2.5,4.3,59.0,350558.7,47.62473874189193,21.44365972954283
2011/Q1,587.0,88.806,3.0,5.1,57.6,328096.0,48.08663264644193,23.04214511137315
2011/Q2,575.0,89.497,3.25,4.6,60.2,343678.8,48.196267523886064,21.18935248256992
2011/Q3,584.0,90.476,3.25,4.3,59.8,349987.0,48.52137519157354,20.08761787007674
2011/Q4,595.0,90.62,3.25,4.1,59.5,367175.4,49.49128020037648,20.50712753818971
2012/Q1,569.0,91.481,3.25,5.0,58.1,344574.6,49.91595099162976,21.12820340978992
2012/Q2,579.0,91.671,3.25,4.2,60.5,358275.7,50.032593477847556,18.85288788574355
2012/Q3,561.0,91.933,3.0,4.1,60.3,361834.3,50.239809464788046,16.91795297716355
2012/Q4,578.0,92.175,2.75,3.5,59.6,375426.7,51.382719587333426,20.0332697458335
2013/Q1,581.0,92.906,2.75,4.5,57.9,355384.7,51.88571272856092,19.90610065965291
2013/Q2,564.0,92.785,2.5,4.1,60.5,373096.5,53.30485141934871,18.86288357911615
2013/Q3,537.0,93.189,2.5,3.6,60.5,379887.2,53.30070410441353,16.82156758244346
2013/Q4,577.0,93.16,2.5,3.5,60.3,392450.8,54.83306472126088,19.504293159517218
2014/Q1,581.0,93.954,2.5,4.5,59.2,373559.7,55.40411092593427,20.08802205725272
2014/Q2,567.0,94.277,2.5,4.7,61.0,388566.9,56.038835877009795,19.1046346171453
2014/Q3,587.0,94.476,2.25,4.4,61.2,393425.4,56.28098337114354,18.15159878841517
2014/Q4,587.0,94.075,2.0,4.1,60.7,407377.0,57.37977719540315,19.78696172978911
2015/Q1,593.0,94.609,1.75,4.6,59.3,394273.0,57.739555181523585,20.03850644447138
2015/Q2,605.0,94.808,1.5,4.6,61.0,411386.8,58.398786848536986,20.2430913223744
