,월,서울시 아파트
0,2017-01,57
1,2017-02,58
2,2017-03,0
3,2017-04,73
4,2017-05,75
5,2017-06,91
6,2017-07,29
7,2017-08,37
8,2017-09,59
9,2017-10,79
10,2017-11,82
11,2017-12,52
12,2018-01,62
13,2018-02,83
14,2018-03,85
15,2018-04,68
16,2018-05,91
17,2018-06,54
18,2018-07,52
19,2018-08,78
20,2018-09,61
21,2018-10,61
22,2018-11,59
23,2018-12,45
24,2019-01,50
25,2019-02,60
26,2019-03,53
27,2019-04,33
28,2019-05,35
29,2019-06,59
30,2019-07,73
31,2019-08,73
32,2019-09,57
33,2019-10,100
34,2019-11,72
35,2019-12,84
36,2020-01,51
37,2020-02,60
38,2020-03,87
39,2020-04,45
40,2020-05,63
41,2020-06,56
42,2020-07,71
43,2020-08,69
44,2020-09,55
45,2020-10,52
46,2020-11,43
47,2020-12,42
48,2021-01,80
49,2021-02,62
50,2021-03,40
51,2021-04,63
52,2021-05,39
53,2021-06,36
54,2021-07,34
55,2021-08,44
56,2021-09,57
57,2021-10,55
58,2021-11,40
59,2021-12,38
60,2022-01,64
61,2022-02,61
62,2022-03,40
63,2022-04,38
64,2022-05,41
65,2022-06,50
66,2022-07,36
67,2022-08,58
68,2022-09,63
69,2022-10,36
70,2022-11,74
71,2022-12,51
72,2023-01,33
73,2023-02,68
74,2023-03,54
75,2023-04,50
